_id,active,name,description,type,volume,volume._id,volume.volume,volume.unit,amount,dimensions,weight_in_kg,is_sample_data
63ce82affde515fcff1500ad,TRUE,Absetzpresse,Presse,,,63cea0aa5160ea97c511135c,6,cbm,0,,,
63ce8877fde51543321560ab,TRUE,Abrollmulde 14cbm,,,,63ce8877fde515cf931560ac,,cbm,0,,,FALSE
63ce9fc2fde515dbaa16af51,FALSE,"Beispielcontainer ASK offen (5,5 Normal)",Normal,,,63ce9fc2fde515181e16af52,5.5,cbm,1,,,TRUE
63ce9fc2fde51599bd16af53,FALSE,Beispielcontainer ASK mit Deckel (3),,,,63ce9fc2fde515789916af54,3,cbm,1,,,TRUE
63cea08afde51524a316beba,TRUE,Tauschbehälter,,,,63cea08afde51513a016bebb,,cbm,0,,,FALSE
63ceab23a455f5cff377f5ae,TRUE,Kundeneigener Container (7m³ offen),,,,63ceab23a455f5499f77f5af,,cbm,0,,,FALSE
63cf81dca455f57ff479d2f0,FALSE,"Absetzer,  7er oder 10er Deckelcontainer",,,,6423caaff6770a55a4653db0,,cbm,0,,,FALSE
63cfb6727f65ef6aadd6ddab,TRUE,Rollbehälter 240L MGB,,,,63cfb68b7f65ef0d35d6e084,0.24,cbm,0,,,
63cfb74d7f65ef9585d6f2f3,TRUE,Aktenbehälter 240L Alu,,,,63cfb74d7f65ef2c66d6f2f4,0.24,cbm,0,,,
63cfb75ff555877c96c6f70c,TRUE,Aktenbehälter 240L ,,,,63cfb75ff55587560ec6f70d,0.24,cbm,0,,,
63cfc6d1f555871b26c82faf,TRUE,4 röhre,,,,63cfc6d1f55587a387c82fb0,,cbm,0,,,FALSE
63cfc8e5fde51525851efcc4,TRUE,"Abdecksand 0,2mm",,,,63cfc8e5fde515533d1efcc5,,cbm,0,,,FALSE
63cfce86f555871015c88f01,TRUE,3m³-Absetzcontainer mit Deckel,,,,63cfce86f555879311c88f02,,cbm,0,,,FALSE
63cff2e7db06eb3336b3effe,TRUE,484: Container Rückholung,,,,63cff2e7db06ebefcab3efff,,cbm,0,,,FALSE
63d0d7a45c8a2b22c22ca6ee,TRUE,Sattelzug,,,,63d0d7a45c8a2b0b9f2ca6ef,,cbm,0,,,FALSE
63d0ebedf555872e54cead6f,TRUE,Absetzcontainer 7er mit Klappe,,,,63d0ebedf55587e8accead70,,cbm,0,,,FALSE
63d0f6a5f555872b33cf5ec6,TRUE,Absetzcontainer 9 cbm offen,,,,63d0f6a5f555871634cf5ec7,9,cbm,0,,,
63d0f6b95c8a2b835e2ea9ca,TRUE,Absetzcontainer 9 cbm Deckel,,,,63d0f6b95c8a2b4cfa2ea9cb,9,cbm,0,,,
63d0fa345c8a2bb6a82efaf4,TRUE,Schaeffler Absetzcontainer 10 cbm Grün,,,,63d0fa345c8a2ba4162efaf5,10,cbm,0,,,
63d0fc82f55587bc96cfbbe6,TRUE,15 m³ ABR,,,,63d0fc82f55587ef39cfbbe7,,cbm,0,,,FALSE
63d10e03e2fd4df7d2a42f5e,TRUE,Absetzcontainer BK2 7 cbm Deckel,,,,63d10e03e2fd4d0fd1a42f5f,7,cbm,0,,,
63d125467df9fa96f1c6ebca,TRUE,Eigener Container 10m³,,,,63d125467df9fa7e75c6ebcb,,cbm,0,,,FALSE
63d126397df9fa2eeec6f91a,TRUE,Eigener Container 10m³ mit Deckel,,,,63d126397df9fa269bc6f91b,,cbm,0,,,FALSE
63d244f10398b3251f4084bb,FALSE,Absetzcontainer  7 Klappe,,,,6405cf546da8e000c847fe21,,cbm,0,,,FALSE
63d244f50398b32e904084c5,FALSE,Absetzcontainer  7 Klappe,,,,6405cf616da8e075e347febb,,cbm,0,,,FALSE
63d2731b6589bef6040821ea,TRUE,Abrollcontainer 35cbm offen,,,,63d2731b6589be29770821eb,,cbm,0,,,FALSE
63d382af57f7f1df3b369895,FALSE,10,,,,63d382e7dbcf2202f5d39ed8,,cbm,0,,,FALSE
63d39596a3043a71782b15f6,TRUE,Container 5 cbm Deckel,,,,63d39596a3043a404a2b15f7,,cbm,0,,,FALSE
63d3a44957f7f144a638e967,TRUE,Teleskoplader,,,,63d3a44957f7f1553838e968,,cbm,0,,,FALSE
63d3adaea3043a2b512cdb0c,TRUE,Reinigung für Dichtheitsprüfung ,Dichtheitsprüfung ,,,63d9159ad7473e31f3703ae8,,cbm,0,,,FALSE
63d3adaf3569914cc963ce6c,FALSE,Ölabscheider ,Nur reinigen ,,,63d9154834e9594a03461aea,,cbm,0,,,FALSE
63d75b6e8ed8a85dae8ab9e2,TRUE,Absetzcontainer 7er ,,,,63d75b6e8ed8a84e9f8ab9e3,,cbm,0,,,FALSE
63d75cd35670d197c1533dbb,TRUE,Absetzcontainer 5er offen,,,,63d75cd35670d129fc533dbc,,cbm,0,,,FALSE
63d777135670d16406550d79,TRUE,Absetzcontainer 7er offen,,,,63d777135670d14d29550d7a,,cbm,0,,,FALSE
63d77a1b5670d120c8554a77,TRUE,MST ME 601,,,,63d77a1b5670d119aa554a78,,cbm,0,,,FALSE
63d77c432da65a3967ee52a3,TRUE,ARC20P,,,,63d77c432da65a38fcee52a4,,cbm,1,,,FALSE
63d77d798ed8a870758cc37b,TRUE,ARC36D,,,,63d77d798ed8a8a0ef8cc37c,,cbm,1,,,FALSE
63d7c795e1ac1804740838c5,TRUE,7 m³ Absetzcontainer mit Deckel ,,,,63d7c795e1ac1830030838c6,,cbm,0,,,FALSE
63d8c53a2da65ad082f851e5,TRUE,Absetzcontainer 4 cbm,,,,63d8c53a2da65a00a9f851e6,,cbm,0,,,FALSE
63d8d13b34e959b7f1421e33,TRUE,Absetzcontainer 3 cbm,,,,63d8d13b34e95986d8421e34,,cbm,0,,,FALSE
63d8fb55d7473ee3d56ee497,FALSE,Absetzcontainer  7 m³ leer,,,,6439095a4b5c8209eab9e1fe,,cbm,0,,,FALSE
63d9168934e95942c0463eee,TRUE,Reinigung Ölabscheider Sandfang ,,,,63d9168934e959f845463eef,,cbm,0,,,
63d916a8d8532d03c3a03d8d,TRUE,Reinigung Fettabscheider,,,,63d916a8d8532d66bca03d8e,,cbm,0,,,
63d916bfd8532d272ea03eb3,TRUE,Kanalreinigung ,,,,63d916bfd8532df866a03eb4,,cbm,0,,,
63d916f92da65acfb6fd9b00,TRUE,Kanal TV ,,,,63d916f92da65a66f2fd9b01,,cbm,0,,,
63d9356834e9591a4b47c622,FALSE,"6,0 to Bagger",,,,643e9ae323478a5b84eabf62,,cbm,0,,,FALSE
63d9358b34e959141447c784,TRUE,Bagger,,,,63d9358b34e959301047c785,,cbm,0,,,FALSE
63da01e62da65a27b8009a21,TRUE,Abrollcontainer 35cbm mit Deckel,,,,63da01e62da65a8221009a22,,cbm,0,,,FALSE
